Scenario,Algorithm,Solved,Moves,Expanded_Nodes,Max_Fringe_Size,Time
"[1, 2, 3, 4, 5, 7, 11, 8, 14, 6, 13, 12, 9, 10, 15, 0]",BFS,True,16,208773,201988,2.134751081466675
"[1, 2, 3, 4, 5, 7, 11, 8, 14, 6, 13, 12, 9, 10, 15, 0]",UCS,True,16,147651,132853,1.7044832706451416
"[2, 9, 3, 4, 1, 0, 11, 5, 14, 10, 7, 8, 6, 13, 15, 12]",A* (misplacedTiles),True,26,132298,125912,2.215725898742676
"[2, 9, 3, 4, 1, 0, 11, 5, 14, 10, 7, 8, 6, 13, 15, 12]",A* (euclideanDistance),True,26,3960,3646,0.13042402267456055
"[2, 9, 3, 4, 1, 0, 11, 5, 14, 10, 7, 8, 6, 13, 15, 12]",A* (manhattanDistance),True,26,2263,2044,0.055796146392822266
"[2, 9, 3, 4, 1, 0, 11, 5, 14, 10, 7, 8, 6, 13, 15, 12]",A* (rowColumnHeuristic),True,26,14148,13634,0.30617308616638184
"[2, 9, 3, 4, 1, 0, 11, 5, 14, 10, 7, 8, 6, 13, 15, 12]",A* (linearConflict),True,26,2127,2174,0.08970999717712402
"[2, 9, 3, 4, 1, 0, 11, 5, 14, 10, 7, 8, 6, 13, 15, 12]",DFS,False,0,22804,21665,10.000759601593018
"[2, 9, 3, 4, 1, 0, 11, 5, 14, 10, 7, 8, 6, 13, 15, 12]",BFS,False,0,863317,813695,10.265597581863403
"[2, 9, 3, 4, 1, 0, 11, 5, 14, 10, 7, 8, 6, 13, 15, 12]",UCS,False,0,587186,556106,10.005851030349731
"[1, 2, 4, 6, 9, 5, 12, 0, 13, 10, 7, 3, 14, 11, 15, 8]",A* (misplacedTiles),True,22,8728,8983,0.19315481185913086
"[1, 2, 4, 6, 9, 5, 12, 0, 13, 10, 7, 3, 14, 11, 15, 8]",A* (euclideanDistance),True,22,450,501,0.01688551902770996
"[1, 2, 4, 6, 9, 5, 12, 0, 13, 10, 7, 3, 14, 11, 15, 8]",A* (manhattanDistance),True,22,305,323,0.009421825408935547
"[1, 2, 4, 6, 9, 5, 12, 0, 13, 10, 7, 3, 14, 11, 15, 8]",A* (rowColumnHeuristic),True,22,1210,1278,0.03519916534423828
"[1, 2, 4, 6, 9, 5, 12, 0, 13, 10, 7, 3, 14, 11, 15, 8]",A* (linearConflict),True,22,676,699,0.028812408447265625
"[1, 2, 4, 6, 9, 5, 12, 0, 13, 10, 7, 3, 14, 11, 15, 8]",DFS,False,0,18508,17581,10.076173782348633
"[1, 2, 4, 6, 9, 5, 12, 0, 13, 10, 7, 3, 14, 11, 15, 8]",BFS,False,0,695911,660222,10.00049114227295
